code,severity,layer,subject_type,is_strict_only,status,reconcile,validator_code,ruleset
INPUT_INVALID,error,input,report,FALSE,validator-only,,INPUT_INVALID,baseline
INPUT_URL_UNSAFE,error,input,report,FALSE,validator-only,,INPUT_URL_UNSAFE,baseline
INPUT_LIST_DUPLICATE,info,input,report,FALSE,validator-only,,INPUT_LIST_DUPLICATE,baseline
FETCH_FAILED,fatal,fetch,source,FALSE,active,,FETCH_FAILED,baseline
FETCH_TIMEOUT,fatal,fetch,source,FALSE,active,,FETCH_TIMEOUT,baseline
FETCH_REDIRECT_LIMIT,error,fetch,source,FALSE,validator-only,,FETCH_REDIRECT_LIMIT,baseline
FETCH_SSRF_BLOCKED,error,fetch,source,FALSE,validator-only,,FETCH_SSRF_BLOCKED,baseline
FETCH_BODY_CEILING_EXCEEDED,fatal,fetch,source,FALSE,active,,DECOMPRESS_TOO_LARGE,baseline
FETCH_BODY_TOO_LARGE,error,fetch,source,FALSE,validator-only,,FETCH_BODY_TOO_LARGE,baseline
FETCH_HTTP_CHARSET_NOT_UTF8,error,fetch,source,FALSE,validator-only,,FETCH_HTTP_CHARSET_NOT_UTF8,baseline
DISCOVERY_GUESS_NOT_FOUND,info,discovery,source,FALSE,validator-only,,DISCOVERY_GUESS_NOT_FOUND,baseline
DISCOVERY_ROBOTS_FAILED,warning,discovery,source,FALSE,validator-only,,DISCOVERY_ROBOTS_FAILED,baseline
UNSUPPORTED_ROOT,error,classification,source,FALSE,active,,CLASSIFY_UNSUPPORTED_ROOT,baseline
UNSUPPORTED_HTML_MASQUERADE,error,classification,source,FALSE,active,,CLASSIFY_HTML_DETECTED,baseline
UNSUPPORTED_FEED,error,classification,index-child,FALSE,active,,,baseline
UNSUPPORTED_FORMAT,error,classification,source,FALSE,validator-only,,CLASSIFY_UNSUPPORTED_FORMAT,baseline
ENCODING_CONFLICT,info,classification,source,FALSE,active,,PROTO_ENCODING_CONFLICT,baseline
ENCODING_BOM_DECLARATION_CONFLICT,info,classification,source,FALSE,active,,PROTO_ENCODING_CONFLICT,baseline
ENCODING_BOM_DETECTED,info,classification,source,FALSE,validator-only,,PROTO_BOM_DETECTED,baseline
ENCODING_NOT_UTF8,error,classification,source,FALSE,validator-only,,PROTO_ENCODING_NOT_UTF8,baseline
